Method,alpha,metric,estimate,ci_low,ci_high,confidence,n_bootstrap
standard_cp,0.05,coverage,0.997624,0.996722,0.998443,0.95,1000
standard_cp,0.05,average_set_size,2.067601,2.045465,2.08776,0.95,1000
standard_cp,0.05,coverage_equity_gap,0.005336,-0.001669,0.014017,0.95,1000
aps,0.05,coverage,0.998853,0.998277,0.999426,0.95,1000
aps,0.05,average_set_size,3.626024,3.595211,3.658977,0.95,1000
aps,0.05,coverage_equity_gap,0.001101,-0.002841,0.008524,0.95,1000
raps,0.05,coverage,0.998443,0.997704,0.999099,0.95,1000
raps,0.05,average_set_size,3.164782,3.152487,3.177981,0.95,1000
raps,0.05,coverage_equity_gap,0.001576,-0.002383,0.008804,0.95,1000
mondrian_cp,0.05,coverage,0.995657,0.994508,0.996722,0.95,1000
mondrian_cp,0.05,average_set_size,2.563832,2.538012,2.590714,0.95,1000
mondrian_cp,0.05,coverage_equity_gap,-0.003892,-0.008905,0.003881,0.95,1000
frequency_grouped_cp,0.05,coverage,0.99664,0.995575,0.997624,0.95,1000
frequency_grouped_cp,0.05,average_set_size,2.448951,2.423218,2.477303,0.95,1000
frequency_grouped_cp,0.05,coverage_equity_gap,-0.001454,-0.006552,0.006001,0.95,1000
standard_cp,0.1,coverage,0.993363,0.991888,0.994674,0.95,1000
standard_cp,0.1,average_set_size,1.395444,1.383559,1.407821,0.95,1000
standard_cp,0.1,coverage_equity_gap,0.013855,0.001399,0.028355,0.95,1000
aps,0.1,coverage,0.99664,0.995657,0.997624,0.95,1000
aps,0.1,average_set_size,2.777532,2.749508,2.806549,0.95,1000
aps,0.1,coverage_equity_gap,0.002423,-0.004288,0.011672,0.95,1000
raps,0.1,coverage,0.996067,0.994838,0.997214,0.95,1000
raps,0.1,average_set_size,2.466404,2.447882,2.486082,0.95,1000
raps,0.1,coverage_equity_gap,0.005248,-0.003745,0.017188,0.95,1000
mondrian_cp,0.1,coverage,0.991232,0.989512,0.992789,0.95,1000
mondrian_cp,0.1,average_set_size,1.874795,1.855453,1.895041,0.95,1000
mondrian_cp,0.1,coverage_equity_gap,-0.005363,-0.013244,0.004242,0.95,1000
frequency_grouped_cp,0.1,coverage,0.992707,0.99115,0.9941,0.95,1000
frequency_grouped_cp,0.1,average_set_size,1.686742,1.667402,1.705263,0.95,1000
frequency_grouped_cp,0.1,coverage_equity_gap,-0.001559,-0.008946,0.007357,0.95,1000
standard_cp,0.2,coverage,0.98394,0.981645,0.98607,0.95,1000
standard_cp,0.2,average_set_size,1.081858,1.076614,1.087185,0.95,1000
standard_cp,0.2,coverage_equity_gap,0.035193,0.017277,0.054312,0.95,1000
aps,0.2,coverage,0.992789,0.991314,0.994182,0.95,1000
aps,0.2,average_set_size,2.021878,1.999834,2.045563,0.95,1000
aps,0.2,coverage_equity_gap,0.003437,-0.004508,0.013751,0.95,1000
raps,0.2,coverage,0.992052,0.990495,0.993527,0.95,1000
raps,0.2,average_set_size,1.913881,1.89552,1.932735,0.95,1000
raps,0.2,coverage_equity_gap,0.008415,-0.002668,0.021009,0.95,1000
mondrian_cp,0.2,coverage,0.977794,0.97517,0.980334,0.95,1000
mondrian_cp,0.2,average_set_size,1.299328,1.288674,1.310472,0.95,1000
mondrian_cp,0.2,coverage_equity_gap,-0.025677,-0.036714,-0.013068,0.95,1000
frequency_grouped_cp,0.2,coverage,0.982465,0.98025,0.984515,0.95,1000
frequency_grouped_cp,0.2,average_set_size,1.179859,1.171501,1.188545,0.95,1000
frequency_grouped_cp,0.2,coverage_equity_gap,-0.00508,-0.016539,0.008559,0.95,1000
